ID,Name,Age,Gender,Education
0,Grace,22,Female,Bachelor's Degree
1,Bob,53,Female,High School
2,Frank,50,Male,High School
3,Frank,41,Male,Bachelor's Degree
4,Bob,57,Male,Master's Degree
5,Eve,41,Male,Master's Degree
6,Jack,56,Female,Master's Degree
7,Ivy,34,Female,Master's Degree
8,Harry,54,Male,PhD
9,Frank,26,Male,Master's Degree
10,David,20,Female,Bachelor's Degree
11,David,25,Male,High School
12,Grace,35,Female,Bachelor's Degree
13,Frank,48,Female,High School
14,Ivy,18,Female,Master's Degree
15,Bob,24,Male,Bachelor's Degree
16,David,53,Female,PhD
17,Jack,40,Female,Master's Degree
18,Charlie,41,Male,High School
19,Bob,41,Male,High School
20,Ivy,18,Female,Bachelor's Degree
21,Grace,56,Male,PhD
22,Bob,24,Female,PhD
23,Alice,41,Male,PhD
24,Alice,43,Male,High School
25,Alice,56,Female,PhD
26,Charlie,46,Female,PhD
27,Ivy,27,Male,Bachelor's Degree
28,David,19,Female,PhD
29,Jack,42,Female,High School
30,Charlie,19,Female,High School
31,Grace,55,Female,PhD
32,Frank,20,Female,PhD
33,David,28,Female,Master's Degree
34,Frank,54,Male,Master's Degree
35,Ivy,19,Male,PhD
36,David,18,Female,PhD
37,Harry,36,Male,Bachelor's Degree
38,Eve,43,Female,Bachelor's Degree
39,David,41,Male,Master's Degree
40,Jack,26,Male,PhD
41,Frank,50,Male,PhD
42,Grace,56,Female,High School
43,Eve,20,Male,Master's Degree
44,Frank,55,Male,High School
45,Alice,39,Female,High School
46,Alice,58,Female,Master's Degree
47,Frank,42,Female,High School
48,David,58,Male,Bachelor's Degree
49,David,46,Male,PhD
50,Harry,49,Male,PhD
51,Eve,46,Male,Bachelor's Degree
52,Jack,21,Male,Master's Degree
53,David,34,Female,PhD
54,Harry,20,Male,High School
55,David,50,Female,Master's Degree
56,Bob,27,Female,Master's Degree
57,Eve,41,Female,Master's Degree
58,Bob,18,Male,High School
59,David,47,Female,Master's Degree
60,Ivy,58,Male,Bachelor's Degree
61,David,23,Female,Bachelor's Degree
62,David,40,Female,PhD
63,Charlie,48,Male,High School
64,Ivy,36,Female,Master's Degree
65,Bob,36,Male,Bachelor's Degree
66,Bob,38,Male,Bachelor's Degree
67,Grace,53,Male,Master's Degree
68,Eve,37,Male,PhD
69,David,38,Male,Master's Degree
70,Grace,42,Male,Master's Degree
71,Alice,45,Female,Bachelor's Degree
72,Charlie,22,Male,Master's Degree
73,Eve,28,Female,Bachelor's Degree
74,Alice,52,Male,PhD
75,Eve,39,Female,Master's Degree
76,Grace,56,Male,High School
77,Charlie,48,Female,High School
78,Bob,38,Male,Master's Degree
79,Alice,26,Male,PhD
80,Ivy,29,Male,PhD
81,Ivy,20,Male,PhD
82,Alice,39,Male,Bachelor's Degree
83,Jack,37,Male,Master's Degree
84,Frank,57,Male,Master's Degree
85,Eve,44,Female,Bachelor's Degree
86,Harry,29,Male,PhD
87,Grace,49,Female,Bachelor's Degree
88,Alice,46,Male,Bachelor's Degree
89,David,34,Female,High School
90,Alice,34,Female,Bachelor's Degree
91,Jack,19,Female,Bachelor's Degree
92,Harry,57,Female,Master's Degree
93,Grace,47,Male,PhD
94,David,48,Female,PhD
95,David,36,Male,High School
96,David,28,Female,Master's Degree
97,Charlie,40,Female,PhD
98,Eve,20,Female,PhD
99,Bob,53,Female,Bachelor's Degree
